"CO_ANO";"SUBSTANCIA";"CO_NCM";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Cromo";"72192100";14010100;5232,319;"TML";"TONELADA METRICA LIQUIDA";4,319;"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, não enrolados, de espessura superior a 10 mm"
"2018";"Cromo";"72230000";9345764;692,145;"TML";"TONELADA METRICA LIQUIDA";2,881;"Fios de aço inoxidável"
"2018";"Diamante";"71021000";40309110;232068;"QUILT";"QUILATE";72,601;"Diamantes, mesmo trabalhados, mas não montados nem engastados, não selecionados"
"2018";"Diamante";"71023100";7563856;2794;"QUILT";"QUILATE";13,623;"Diamantes não industriais, em bruto ou simplesmente serrados, clivados ou desbastados"
"2018";"Diamante";"71023900";3222594;580;"QUILT";"QUILATE";5,804;"Outros diamantes não industriais, não montados, não engastados"
"2018";"Diamante";"68042119";2911901;182992;"KGL";"QUILOGRAMA LIQUIDO";5,245;"Outros mós de diamante natural ou sintético, aglomerado, de diâmetro inferior a 53,34 cm"
"2018";"Diamante";"68042111";729805;8247;"KGL";"QUILOGRAMA LIQUIDO";1,314;"Mós de diamante natural ou sintético, aglomerado, de diâmetro inferior a 53,34 cm, aglomerados com resina"
"2018";"Diamante";"68042190";665354;5256;"KGL";"QUILOGRAMA LIQUIDO";1,198;"Outros mós de diamante natural ou sintético, aglomerado"
"2018";"Diamante";"71022900";107239;9;"QUILT";"QUILATE";0,193;"Outros diamantes industriais, não montados, nem engastados"
"2018";"Diamante";"71022100";9994;97;"QUILT";"QUILATE";0,018;"Diamantes industriais, em bruto ou simplesmente serrados, clivados ou desbastados"
"2018";"Diamante";"71051000";1920;0;"QUILT";"QUILATE";0,003;"Pó de diamantes"
"2018";"Diatomita";"38029040";383451;575125;"KGL";"QUILOGRAMA LIQUIDO";53,149;"Outras argilas e terras ativadas"
"2018";"Diatomita";"25120000";337595;219621;"KGL";"QUILOGRAMA LIQUIDO";46,793;"Farinhas siliciosas fósseis (por exemplo, kieselguhr, tripolita, diatomita) e outras terras siliciosas análogas de densidade aparente não superior a 1, mesmo calcinadas"
"2018";"Diatomita";"38029010";417;10;"KGL";"QUILOGRAMA LIQUIDO";0,058;"Farinhas silíciosas fósseis (ativadas)"
"2018";"Dolomita";"25181000";13490661;243107335;"KGL";"QUILOGRAMA LIQUIDO";96,883;"Dolomita não calcinada nem sinterizada, denominada 'crua'"
"2018";"Dolomita";"25183000";262417;4872770;"KGL";"QUILOGRAMA LIQUIDO";1,885;"Aglomerados de dolomita"
"2018";"Dolomita";"25182000";171616;1520662;"KGL";"QUILOGRAMA LIQUIDO";1,232;"Dolomita calcinada ou sinterizada"
"2018";"Enxofre";"28332990";13947012;1793626;"KGL";"QUILOGRAMA LIQUIDO";67,339;"Outros sulfatos"
"2018";"Enxofre";"25030090";3085562;6670057;"KGL";"QUILOGRAMA LIQUIDO";14,898;"Outras formas de enxofre de qualquer espécie, exceto o enxofre sublimado, o precipitado e o coloidal"
"2018";"Enxofre";"28309019";2111023;757243;"KGL";"QUILOGRAMA LIQUIDO";10,192;"Outros sulfetos"
"2018";"Enxofre";"28020000";728055;918000;"KGL";"QUILOGRAMA LIQUIDO";3,515;"Enxofre sublimado ou precipitado; enxofre coloidal"
"2018";"Enxofre";"28322000";608918;921565;"KGL";"QUILOGRAMA LIQUIDO";2,94;"Outros sulfitos"
"2018";"Enxofre";"25020000";114773;490684;"KGL";"QUILOGRAMA LIQUIDO";0,554;"Piritas de ferro não ustuladas"
"2018";"Enxofre";"28334090";83260;10469;"KGL";"QUILOGRAMA LIQUIDO";0,402;"Outros peroxossulfatos (persulfatos)"
"2018";"Enxofre";"28070010";24863;664916;"KGL";"QUILOGRAMA LIQUIDO";0,12;"Ácido sulfúrico"
"2018";"Enxofre";"28111910";6640;3100;"KGL";"QUILOGRAMA LIQUIDO";0,032;"Ácido aminossulfônico (ácido sulfâmico)"
"2018";"Enxofre";"28333000";1450;1009;"KGL";"QUILOGRAMA LIQUIDO";0,007;"Alumes"
"2018";"Estanho";"80011000";186031792;174986;"TML";"TONELADA METRICA LIQUIDA";85,096;"Estanho não ligado, em forma bruta"
