"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"EX_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2017";"Manganês";"PRODUTOS MANUFATURADOS";31911617;21522,067;6,62
"2018";"Manganês";"PRODUTOS MANUFATURADOS";28462112;17902,391;5,7
"2016";"Manganês";"PRODUTOS SEMIMANUFATURADOS";44015649;65075,306;15,11
"2017";"Manganês";"PRODUTOS SEMIMANUFATURADOS";84777182;76841,737;17,58
"2018";"Manganês";"PRODUTOS SEMIMANUFATURADOS";63944375;56440,246;12,81
"2016";"Materiais Radioativos";"PRODUTOS MANUFATURADOS";5051006;23,523;100
"2017";"Materiais Radioativos";"PRODUTOS MANUFATURADOS";1107390;15,002;100
"2018";"Materiais Radioativos";"PRODUTOS MANUFATURADOS";4084275;26,411;100
"2016";"Mercúrio";"PRODUTOS MANUFATURADOS";14439;253,023;100
"2017";"Mercúrio";"PRODUTOS MANUFATURADOS";231;0,003;100
"2018";"Mercúrio";"PRODUTOS MANUFATURADOS";501;0,002;100
"2016";"Metais Preciosos - Diversos";"PRODUTOS BASICOS";159362512;8127,483;56,57
"2017";"Metais Preciosos - Diversos";"PRODUTOS BASICOS";172341011;7293,989;60,73
"2018";"Metais Preciosos - Diversos";"PRODUTOS BASICOS";190191392;8256,887;50,07
"2016";"Metais Preciosos - Diversos";"PRODUTOS MANUFATURADOS";120981423;477,734;42,95
"2017";"Metais Preciosos - Diversos";"PRODUTOS MANUFATURADOS";110160267;903,272;38,82
"2018";"Metais Preciosos - Diversos";"PRODUTOS MANUFATURADOS";188643671;1419,064;49,66
"2016";"Metais Preciosos - Diversos";"PRODUTOS SEMIMANUFATURADOS";10584;0,028;0
"2017";"Metais Preciosos - Diversos";"PRODUTOS SEMIMANUFATURADOS";143166;0,469;0,05
"2018";"Metais Preciosos - Diversos";"PRODUTOS SEMIMANUFATURADOS";53913;0,21;0,01
"2016";"Metais Preciosos - Diversos";"TRANSACOES ESPECIAIS";1351466;4,164;0,48
"2017";"Metais Preciosos - Diversos";"TRANSACOES ESPECIAIS";1125480;3,811;0,4
"2018";"Metais Preciosos - Diversos";"TRANSACOES ESPECIAIS";956981;3,044;0,25
"2016";"Mica";"PRODUTOS BASICOS";2499175;4241,227;30,39
"2017";"Mica";"PRODUTOS BASICOS";2458806;3546,021;28,35
"2018";"Mica";"PRODUTOS BASICOS";2683527;3887,794;34,82
"2016";"Mica";"PRODUTOS MANUFATURADOS";5724225;699,741;69,61
"2017";"Mica";"PRODUTOS MANUFATURADOS";6212992;800,754;71,65
"2018";"Mica";"PRODUTOS MANUFATURADOS";5023558;684,818;65,18
"2016";"Minerais Abrasivos - Diversos";"PRODUTOS BASICOS";827912;23,499;1,43
"2017";"Minerais Abrasivos - Diversos";"PRODUTOS BASICOS";742091;49,886;1,19
"2018";"Minerais Abrasivos - Diversos";"PRODUTOS BASICOS";1395378;47,462;2,19
"2016";"Minerais Abrasivos - Diversos";"PRODUTOS MANUFATURADOS";57248472;9035,707;98,57
"2017";"Minerais Abrasivos - Diversos";"PRODUTOS MANUFATURADOS";61768825;9603,138;98,81
"2018";"Minerais Abrasivos - Diversos";"PRODUTOS MANUFATURADOS";62408095;10280,043;97,81
"2016";"Minerais Abrasivos - Outros";"PRODUTOS BASICOS";3453;0,245;100
"2017";"Minerais Abrasivos - Outros";"PRODUTOS BASICOS";3949;0,496;100
"2018";"Minerais Abrasivos - Outros";"PRODUTOS BASICOS";4645;0,368;100
"2016";"Minerais Metálicos - Diversos";"PRODUTOS BASICOS";37629698;998,394;2,58
"2017";"Minerais Metálicos - Diversos";"PRODUTOS BASICOS";15810584;719,787;0,93
"2018";"Minerais Metálicos - Diversos";"PRODUTOS BASICOS";35575444;1137,73;2,21
"2016";"Minerais Metálicos - Diversos";"PRODUTOS MANUFATURADOS";1422690776;148611,249;97,42
"2017";"Minerais Metálicos - Diversos";"PRODUTOS MANUFATURADOS";1680556065;151132,134;99,07
"2018";"Minerais Metálicos - Diversos";"PRODUTOS MANUFATURADOS";1572513149;161423,489;97,79
"2018";"Minerais Metálicos - Diversos";"PRODUTOS SEMIMANUFATURADOS";20865;0,535;0
"2016";"Minerais Metálicos - Outros";"PRODUTOS BASICOS";467643;646,75;93,39
"2017";"Minerais Metálicos - Outros";"PRODUTOS BASICOS";430773;601,613;100
